菌株收集代碼（Strain ID）,菌株分離年代（Year）,菌種 （Species）,組別,Azithromycin,Ampicillin,Cefotaxime,Ceftazidime,Nalidixic acid,Ciprofloxacin,Gentamicin,Chloramphenicol,Trimethoprim／sulfamethoxazole,Tetracylcine
R19.2936,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,S
R19.2949,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2952,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2960,2019,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,S
R19.2962,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2963,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0005,2020,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R20.0011,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0014,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0023,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0033,2020,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0034,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0035,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0037,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0043,2020,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0045,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0049,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0052,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0068,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0078,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0087,2020,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,S,S,R
R20.0091,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0092,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0093,2020,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R20.0097,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0099,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0103,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0110,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0118,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0120,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0123,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0125,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0138,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0171,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0189,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0199,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0200,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0207,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0209,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0214,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0215,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0224,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0242,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0281,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0306,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0353,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0364,2020,S. flexneri,本國籍無境外旅遊史,R,R,S,S,R,R,S,R,S,R
R20.0367,2020,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,S,R
R20.0369,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0377,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0378,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0381,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0388,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0399,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R20.0402,2020,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,S,R
R20.0405,2020,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,S,R
R21.0002,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0005,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0006,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0008,2021,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,S,R
R21.0013,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0014,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0015,2021,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,S,R
R21.0017,2021,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,R,S,S,R
R21.0019,2021,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,S,R
R21.0058,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0062,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0069,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0076,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0078,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0084,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0085,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0318,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0323,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0324,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0328,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0331,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R21.0334,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0355,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0404,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R21.0468,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0576,2021,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,S
R21.0584,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0631,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0704,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0836,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.0865,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.1124,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.1456,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R21.1603,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.1692,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2084,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2092,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2093,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2192,2021,S. flexneri,本國籍無境外旅遊史,R,R,S,S,R,R,S,R,S,R
R21.2403,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2410,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2418,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2438,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2444,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2469,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2574,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2575,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0007,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0009,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0019,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,S,S
R22.0020,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0024,2022,S. flexneri,本國籍無境外旅遊史,S,R,R,S,S,I,S,S,S,R
R22.0026,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0027,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0028,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0085,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0119,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0125,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0630,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0864,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.0892,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.1006,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R22.1124,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.1148,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.1283,2022,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R22.1285,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.2626,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.2699,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.2786,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.2931,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.2948,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.2964,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3071,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3525,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3772,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3786,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3788,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3793,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3814,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3819,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3824,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3835,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R22.3840,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0005,2023,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R23.0033,2023,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R23.0055,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0056,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0110,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0167,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0301,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0327,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.0711,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.1159,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.1169,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.1401,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.1509,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2164,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2324,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2335,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2360,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2361,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2423,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2443,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2446,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2470,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2515,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2539,2023,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,S,R
R23.2540,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2579,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2589,2023,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,I,S,S,R
R23.2592,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2655,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2703,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2715,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2719,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R23.2724,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R21.2513,2021,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R22.1754,2022,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,S
R22.2023,2022,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R22.2951,2022,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3373,2022,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R22.3779,2022,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R22.3781,2022,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R22.3787,2022,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R22.3823,2022,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R22.3841,2022,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R23.0001,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R23.0002,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,S,R
R23.0029,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R23.0046,2023,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R23.0074,2023,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.0174,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R23.0328,2023,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R23.1149,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R23.1400,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R23.1577,2023,S. sonnei,外籍人士或有境外旅遊史,R,R,R,R,R,R,S,S,R,R
R23.2325,2023,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R23.2646,2023,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.2652,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R23.2722,2023,S. flexneri,外籍人士或有境外旅遊史,S,R,R,R,S,I,S,S,R,R
